instancia,selectionSort,mergeSort
0,0.005921,0.000468
1,0.005360,0.000454
2,0.005513,0.000435
3,0.005403,0.000449
4,0.005229,0.000485
5,0.005269,0.000440
6,0.033028,0.003766
7,0.008123,0.003862
8,0.005676,0.003810
9,0.005587,0.003732
10,0.005581,0.000480
11,0.005393,0.000491
12,0.005151,0.000445
13,0.005507,0.000564
14,0.005622,0.000473
15,0.005583,0.000461
16,0.005463,0.000459
17,0.005586,0.000483
18,0.005447,0.000478
19,0.005380,0.000455
20,0.005381,0.000455
21,0.005364,0.000490
22,0.005493,0.000469
23,0.005345,0.000477
24,0.005387,0.000473
25,0.006219,0.000454
26,0.006792,0.000453
27,0.005131,0.000459
28,0.005258,0.000474
29,0.005271,0.000452
30,0.005245,0.000457
31,0.005184,0.000461
32,0.005256,0.000462
33,0.005009,0.000428
34,0.004785,0.000422
35,0.004805,0.000425
36,0.004785,0.000427
37,0.004748,0.000423
38,0.004779,0.000422
39,0.004745,0.000421
40,0.004735,0.000421
41,0.004733,0.000420
42,0.004744,0.000504
43,0.004733,0.000417
44,0.004759,0.000430
45,0.004732,0.000426
46,0.004732,0.000418
47,0.004744,0.000479
48,0.004740,0.000420
49,0.004730,0.000420
50,0.004779,0.000421
51,0.004800,0.000420
52,0.004690,0.000412
53,0.004808,0.000419
54,0.004802,0.000416
55,0.004771,0.000423
56,0.005018,0.000456
57,0.004741,0.000419
58,0.004737,0.000407
59,0.004604,0.000404
60,0.004683,0.000432
61,0.004696,0.000406
62,0.004735,0.000424
63,0.004736,0.000439
64,0.004646,0.000420
65,0.004746,0.000419
66,0.004732,0.000417
67,0.004791,0.000422
68,0.004739,0.000421
69,0.004738,0.000435
70,0.004808,0.000406
71,0.004605,0.000405
72,0.004611,0.000443
73,0.004605,0.000410
74,0.004659,0.000410
75,0.004636,0.000409
76,0.004758,0.000438
77,0.004878,0.000424
78,0.004633,0.000436
79,0.004606,0.000405
80,0.004915,0.000444
81,0.004780,0.000416
82,0.004733,0.000405
83,0.004856,0.000405
84,0.004714,0.000421
85,0.004689,0.000406
86,0.004635,0.000404
87,0.004662,0.000404
88,0.004614,0.000419
89,0.004780,0.000407
90,0.004783,0.000418
91,0.004672,0.000407
92,0.004669,0.000424
93,0.004661,0.000424
94,0.004655,0.000423
95,0.004937,0.000422
96,0.004902,0.000428
97,0.004725,0.000419
98,0.004689,0.000407
99,0.004860,0.000406
