instancia,selectionSort,mergeSort
0,0.307306,0.004203
1,0.295815,0.004258
2,0.312982,0.005294
3,0.308881,0.004254
4,0.295919,0.004113
5,0.297739,0.004175
6,0.295822,0.004191
7,0.295338,0.004067
8,0.298314,0.004228
9,0.294484,0.004188
10,0.295427,0.004042
11,0.295930,0.004234
12,0.298331,0.004163
13,0.295516,0.004354
14,0.295465,0.004451
15,0.294848,0.004138
16,0.295949,0.004123
17,0.295876,0.004313
18,0.294478,0.004241
19,0.295877,0.004091
20,0.295622,0.004222
21,0.295103,0.004107
22,0.295979,0.004175
23,0.295554,0.004186
24,0.295063,0.004045
25,0.296001,0.004441
26,0.324720,0.005366
27,0.324062,0.004934
28,0.303327,0.004272
29,0.313206,0.004213
30,0.294321,0.004038
31,0.296064,0.004308
32,0.295586,0.004197
33,0.296818,0.004073
34,0.293577,0.004253
35,0.295876,0.004104
36,0.297353,0.004122
37,0.294824,0.004220
38,0.293876,0.004103
39,0.296961,0.004140
40,0.295646,0.004247
41,0.294533,0.004102
42,0.298445,0.004270
43,0.295207,0.004017
44,0.294089,0.004265
45,0.298087,0.004245
46,0.295190,0.004022
47,0.294291,0.004279
48,0.299523,0.004230
49,0.294909,0.004092
50,0.294349,0.004229
51,0.296566,0.004113
52,0.294845,0.004102
53,0.295083,0.004642
54,0.298236,0.004137
55,0.294899,0.004150
56,0.296113,0.004223
57,0.296749,0.004093
58,0.295378,0.004266
59,0.295181,0.004967
60,0.296544,0.004095
61,0.294615,0.004274
62,0.296003,0.004210
63,0.294251,0.004090
64,0.294710,0.004291
65,0.297770,0.004161
66,0.296250,0.004049
67,0.294513,0.004264
68,0.296017,0.004153
69,0.308671,0.004106
70,0.308940,0.004220
71,0.299640,0.004109
72,0.296802,0.004123
73,0.295107,0.004223
74,0.296097,0.004138
75,0.295455,0.004115
76,0.295599,0.004367
77,0.296289,0.004135
78,0.294205,0.004263
79,0.295729,0.004229
80,0.296140,0.004123
81,0.294523,0.004239
82,0.294524,0.004202
83,0.294389,0.004076
84,0.295095,0.004262
85,0.296910,0.004261
86,0.294588,0.004031
87,0.293261,0.004304
88,0.297149,0.004149
89,0.295592,0.004158
90,0.293669,0.004326
91,0.296889,0.004146
92,0.295726,0.004324
93,0.294549,0.004217
94,0.297088,0.004227
95,0.295422,0.004306
96,0.294982,0.004172
97,0.296874,0.004071
98,0.294246,0.004285
99,0.294931,0.004138
