instancia,selectionSort,mergeSort
0,0.019218,0.000907
1,0.020497,0.000910
2,0.020538,0.000964
3,0.019859,0.000910
4,0.020263,0.000978
5,0.020091,0.000953
6,0.019757,0.000902
7,0.019564,0.001069
8,0.020874,0.000961
9,0.019339,0.000948
10,0.018751,0.000902
11,0.018647,0.000898
12,0.018988,0.000917
13,0.019076,0.000954
14,0.019372,0.000971
15,0.020015,0.000929
16,0.018804,0.000921
17,0.019013,0.000943
18,0.020143,0.000947
19,0.018993,0.000975
20,0.019073,0.000914
21,0.018970,0.000920
22,0.018883,0.000905
23,0.019130,0.000908
24,0.019119,0.000937
25,0.018334,0.000874
26,0.018277,0.000875
27,0.018300,0.000874
28,0.018339,0.000876
29,0.018347,0.000905
30,0.018206,0.000875
31,0.018359,0.000968
32,0.018321,0.000882
33,0.018752,0.000879
34,0.018445,0.000902
35,0.018515,0.000882
36,0.019105,0.000988
37,0.019667,0.000928
38,0.018868,0.000881
39,0.018347,0.000876
40,0.018355,0.000879
41,0.018436,0.000945
42,0.018428,0.000907
43,0.018415,0.000878
44,0.018670,0.001041
45,0.018594,0.000883
46,0.018554,0.000907
47,0.018938,0.000910
48,0.018857,0.000949
49,0.018561,0.000977
50,0.018425,0.000905
51,0.018304,0.000967
52,0.018534,0.000879
53,0.018622,0.001038
54,0.018585,0.000906
55,0.020059,0.000905
56,0.019178,0.000906
57,0.019187,0.000880
58,0.018427,0.000934
59,0.018394,0.000878
60,0.018294,0.000875
61,0.018479,0.000886
62,0.018436,0.000904
63,0.018291,0.000913
64,0.018711,0.000909
65,0.019358,0.000945
66,0.018573,0.000896
67,0.018403,0.000877
68,0.018353,0.000920
69,0.018277,0.000904
70,0.018417,0.000935
71,0.018880,0.000889
72,0.020754,0.000981
73,0.020022,0.001067
74,0.020239,0.000919
75,0.020444,0.000975
76,0.019702,0.000909
77,0.018952,0.000904
78,0.019080,0.000898
79,0.018992,0.000896
80,0.018901,0.000937
81,0.019170,0.000897
82,0.019014,0.001110
83,0.019155,0.000990
84,0.019368,0.000940
85,0.019508,0.000956
86,0.019168,0.000897
87,0.019454,0.000938
88,0.019143,0.000929
89,0.018798,0.000899
90,0.019341,0.000897
91,0.018925,0.000925
92,0.019230,0.001033
93,0.019146,0.001059
94,0.018706,0.000928
95,0.019421,0.000949
96,0.018888,0.000925
97,0.018950,0.000875
98,0.018976,0.000955
99,0.019168,0.000945
