instancia,nombre,t_ordenamiento,t_lineal,t_binaria
0,Venusaur,0.000596,0.000040,0.000000
0,KangaskhanMega Kangaskhan,0.000596,0.000045,0.000000
0,Kadabra,0.000596,0.000035,0.000000
0,Weepinbell,0.000596,0.000037,0.000000
0,Totodile,0.000596,0.000034,0.000000
1,Venusaur,0.000603,0.000038,0.000001
1,Cyndaquil,0.000603,0.000035,0.000000
1,Pidgey,0.000603,0.000037,0.000000
1,Gloom,0.000603,0.000034,0.000000
1,Dratini,0.000603,0.000034,0.000000
2,VenusaurMega Venusaur,0.000556,0.000039,0.000000
2,Kangaskhan,0.000556,0.000036,0.000000
2,Ariados,0.000556,0.000033,0.000000
2,Sandshrew,0.000556,0.000034,0.000000
2,Shellder,0.000556,0.000034,0.000000
3,Venusaur,0.000599,0.000040,0.000001
3,Tangela,0.000599,0.000035,0.000001
3,Exeggutor,0.000599,0.000033,0.000001
3,Gengar,0.000599,0.000034,0.000000
3,Seel,0.000599,0.000035,0.000001
4,Venusaur,0.000575,0.000045,0.000001
4,Vileplume,0.000575,0.000040,0.000001
4,Lanturn,0.000575,0.000034,0.000000
4,CharizardMega Charizard Y,0.000575,0.000035,0.000001
4,Voltorb,0.000575,0.000033,0.000000
5,Ivysaur,0.000634,0.000034,0.000001
5,Ekans,0.000634,0.000063,0.000001
5,Blastoise,0.000634,0.000034,0.000001
5,AerodactylMega Aerodactyl,0.000634,0.000042,0.000000
5,Beedrill,0.000634,0.000036,0.000001
6,Venusaur,0.004077,0.000160,0.000003
6,Mewtwo,0.004077,0.000152,0.000002
6,Metapod,0.004077,0.000147,0.000002
6,Hypno,0.004077,0.000142,0.000002
6,Beedrill,0.004077,0.000140,0.000002
7,Venusaur,0.003907,0.000155,0.000002
7,Kabuto,0.003907,0.000144,0.000002
7,Magnemite,0.003907,0.000142,0.000002
7,Ledyba,0.003907,0.000140,0.000002
7,Chikorita,0.003907,0.000146,0.000002
8,Ivysaur,0.003994,0.000150,0.000002
8,Metapod,0.003994,0.000145,0.000002
8,Abra,0.003994,0.000160,0.000002
8,Gyarados,0.003994,0.000146,0.000002
8,Flareon,0.003994,0.000145,0.000002
9,Ivysaur,0.004031,0.000144,0.000002
9,Dugtrio,0.004031,0.000142,0.000002
9,Ditto,0.004031,0.000165,0.000002
9,Butterfree,0.004031,0.000150,0.000002
9,Omastar,0.004031,0.000146,0.000002
10,Ivysaur,0.000565,0.000147,0.000002
10,Wartortle,0.000565,0.000143,0.000002
10,Raticate,0.000565,0.000152,0.000002
10,Beedrill,0.000565,0.000145,0.000002
10,Blastoise,0.000565,0.000154,0.000002
11,Ivysaur,0.000600,0.000145,0.000002
11,Machamp,0.000600,0.000144,0.000002
11,Primeape,0.000600,0.000143,0.000002
11,Dragonite,0.000600,0.000148,0.000002
11,Quilava,0.000600,0.000145,0.000002
12,Bulbasaur,0.000597,0.000177,0.000002
12,GengarMega Gengar,0.000597,0.000148,0.000002
12,Sandshrew,0.000597,0.000159,0.000002
12,Omanyte,0.000597,0.000145,0.000002
12,Spearow,0.000597,0.000159,0.000002
13,Bulbasaur,0.000636,0.000156,0.000002
13,Jolteon,0.000636,0.000151,0.000002
13,Onix,0.000636,0.000146,0.000002
13,Venusaur,0.000636,0.000142,0.000002
13,Alakazam,0.000636,0.000141,0.000002
14,Bulbasaur,0.000572,0.000119,0.000002
14,Rattata,0.000572,0.000091,0.000002
14,KangaskhanMega Kangaskhan,0.000572,0.000090,0.000002
14,Ninetales,0.000572,0.000093,0.000002
14,Paras,0.000572,0.000092,0.000002
15,Bulbasaur,0.000566,0.000095,0.000002
15,Gengar,0.000566,0.000093,0.000002
15,Koffing,0.000566,0.000102,0.000002
15,Jynx,0.000566,0.000095,0.000002
15,VenusaurMega Venusaur,0.000566,0.000093,0.000002
16,Charmeleon,0.000613,0.000104,0.000002
16,Gengar,0.000613,0.000109,0.000002
16,Squirtle,0.000613,0.000093,0.000002
16,Ivysaur,0.000613,0.000087,0.000002
16,Slowbro,0.000613,0.000091,0.000002
17,Charmeleon,0.000611,0.000116,0.000002
17,Growlithe,0.000611,0.000106,0.000002
17,Kabuto,0.000611,0.000099,0.000002
17,Meganium,0.000611,0.000094,0.000002
17,Abra,0.000611,0.000091,0.000002
18,Charizard,0.000639,0.000097,0.000002
18,Diglett,0.000639,0.000091,0.000002
18,Aerodactyl,0.000639,0.000041,0.000002
18,Sentret,0.000639,0.000035,0.000002
18,Chikorita,0.000639,0.000035,0.000002
19,Charmeleon,0.000559,0.000037,0.000002
19,Rhyhorn,0.000559,0.000034,0.000002
19,Seel,0.000559,0.000042,0.000002
19,Primeape,0.000559,0.000035,0.000002
19,Furret,0.000559,0.000033,0.000002
20,Charmander,0.000577,0.000039,0.000002
20,Flareon,0.000577,0.000034,0.000002
20,Dratini,0.000577,0.000035,0.000002
20,Kabuto,0.000577,0.000035,0.000002
20,Nidoking,0.000577,0.000035,0.000002
21,Charmander,0.000597,0.000055,0.000002
21,Charmeleon,0.000597,0.000051,0.000002
21,Ninetales,0.000597,0.000034,0.000002
21,Zubat,0.000597,0.000035,0.000002
21,Poliwrath,0.000597,0.000037,0.000002
22,Charmeleon,0.000587,0.000038,0.000002
22,Jolteon,0.000587,0.000044,0.000002
22,Sentret,0.000587,0.000035,0.000002
22,AerodactylMega Aerodactyl,0.000587,0.000036,0.000002
22,Tauros,0.000587,0.000034,0.000002
23,Charmeleon,0.000584,0.000038,0.000002
23,Jolteon,0.000584,0.000036,0.000002
23,Graveler,0.000584,0.000035,0.000002
23,Pinsir,0.000584,0.000037,0.000002
23,Chinchou,0.000584,0.000034,0.000002
24,Charmander,0.000582,0.000040,0.000002
24,Vileplume,0.000582,0.000034,0.000002
24,Nidoking,0.000582,0.000138,0.000003
24,Arbok,0.000582,0.000216,0.000002
24,Mew,0.000582,0.000121,0.000002
25,Charmander,0.000584,0.000038,0.000002
25,Paras,0.000584,0.000039,0.000002
25,Nidoran♂,0.000584,0.000032,0.000002
25,Quilava,0.000584,0.000039,0.000002
25,Sentret,0.000584,0.000037,0.000002
26,Charmander,0.000576,0.000037,0.000002
26,Charmeleon,0.000576,0.000036,0.000002
26,Slowbro,0.000576,0.000035,0.000002
26,Vaporeon,0.000576,0.000033,0.000002
