instancia,selectionSort,mergeSort
0,0.013851,0.002086
1,0.015586,0.000328
2,0.013080,0.000352
3,0.002212,0.000440
4,0.002162,0.000357
5,0.001309,0.000416
6,0.001317,0.000381
7,0.001321,0.000344
8,0.001288,0.000226
9,0.001281,0.000228
10,0.001291,0.000219
11,0.001299,0.000219
12,0.001319,0.000211
13,0.001382,0.000212
14,0.001317,0.000273
15,0.001292,0.000247
16,0.001330,0.000207
17,0.001283,0.000226
18,0.001343,0.000242
19,0.001293,0.000203
20,0.001289,0.000205
21,0.001287,0.000206
22,0.001321,0.000212
23,0.001294,0.000216
24,0.001321,0.000216
25,0.001319,0.000213
26,0.001307,0.000218
27,0.001314,0.000204
28,0.001282,0.000212
29,0.001293,0.000205
30,0.001315,0.000205
31,0.001301,0.000213
32,0.001275,0.000214
33,0.001328,0.000206
34,0.001326,0.000238
35,0.001301,0.000222
36,0.001352,0.000209
37,0.001381,0.000234
38,0.001374,0.000222
39,0.001341,0.000207
40,0.001283,0.000207
41,0.001340,0.000208
42,0.001299,0.000225
43,0.001318,0.000219
44,0.001358,0.000223
45,0.001352,0.000214
46,0.001347,0.000209
47,0.001382,0.000219
48,0.001353,0.000211
49,0.001386,0.000212
50,0.001483,0.000209
51,0.001408,0.000279
52,0.001498,0.000325
53,0.001408,0.000238
54,0.001823,0.000214
55,0.001404,0.000216
56,0.001341,0.000206
57,0.001337,0.000271
58,0.001331,0.000214
59,0.001363,0.000208
60,0.001349,0.000208
61,0.001386,0.000226
62,0.001389,0.000233
63,0.001363,0.000208
64,0.001337,0.000204
65,0.001307,0.000208
66,0.001889,0.000330
67,0.001276,0.000196
68,0.001282,0.000224
69,0.001266,0.000211
70,0.001426,0.000205
71,0.001324,0.000231
72,0.001364,0.000224
73,0.001343,0.000205
74,0.001332,0.000209
75,0.001364,0.000216
76,0.001334,0.000206
77,0.001294,0.000202
78,0.001393,0.000207
79,0.001387,0.000199
80,0.001275,0.000198
81,0.001269,0.000231
82,0.001401,0.000206
83,0.001376,0.000209
84,0.001351,0.000207
85,0.001307,0.000211
86,0.001355,0.000208
87,0.001314,0.000202
88,0.001326,0.000218
89,0.001390,0.000223
90,0.001293,0.000202
91,0.001323,0.000202
92,0.001294,0.000200
93,0.001328,0.000208
94,0.001351,0.000213
95,0.001365,0.000205
96,0.001412,0.000216
97,0.001394,0.000225
98,0.001395,0.000207
99,0.001336,0.000260
