instancia,nombre,t_ordenamiento,t_lineal,t_binaria
0,Torterra_1,0.013122,0.000504,0.000001
0,Spheal_1,0.013122,0.000585,0.000001
0,Riolu_0,0.013122,0.000481,0.000001
0,Ludicolo_0,0.013122,0.000520,0.000001
0,Doublade_0,0.013122,0.000518,0.000001
1,DeoxysSpeed Forme_1,0.013225,0.000505,0.000001
1,Gurdurr_0,0.013225,0.000534,0.000001
1,Charmeleon_1,0.013225,0.000558,0.000001
1,Forretress_1,0.013225,0.000508,0.000001
1,Shiftry_1,0.013225,0.000557,0.000001
2,Prinplup_1,0.013564,0.000518,0.000001
2,Yamask,0.013564,0.000575,0.000000
2,Staryu_1,0.013564,0.000691,0.000001
2,Wooper,0.013564,0.000668,0.000001
2,Conkeldurr_0,0.013564,0.000549,0.000001
3,Infernape_1,0.013186,0.000497,0.000001
3,Rapidash_0,0.013186,0.000537,0.000001
3,Delcatty_0,0.013186,0.000495,0.000001
3,Herdier,0.013186,0.000482,0.000001
3,Spiritomb_1,0.013186,0.000534,0.000001
4,KyogrePrimal Kyogre_1,0.013670,0.000489,0.000001
4,Eelektrik_0,0.013670,0.000537,0.000001
4,Gengar_1,0.013670,0.000497,0.000001
4,Weavile_0,0.013670,0.000478,0.000001
4,Excadrill,0.013670,0.000471,0.000000
5,Latios_1,0.013546,0.000519,0.000001
5,RotomFan Rotom_0,0.013546,0.000606,0.000001
5,Klinklang,0.013546,0.000523,0.000001
5,Psyduck_1,0.013546,0.000492,0.000001
5,Arceus_1,0.013546,0.000513,0.000001
6,DeoxysNormal Forme_1,0.013107,0.000496,0.000001
6,Simisage_1,0.013107,0.000570,0.000001
6,Sunkern,0.013107,0.000532,0.000001
6,BeedrillMega Beedrill_0,0.013107,0.000502,0.000001
6,Bonsly,0.013107,0.000489,0.000001
7,Rayquaza_1,0.013094,0.000523,0.000001
7,Lickitung_0,0.013094,0.000555,0.000001
7,Electabuzz_0,0.013094,0.000478,0.000000
7,Tentacool_0,0.013094,0.000483,0.000001
7,Whiscash,0.013094,0.000476,0.000001
8,Beldum_1,0.013688,0.000501,0.000001
8,Claydol,0.013688,0.000537,0.000001
8,Carbink,0.013688,0.000501,0.000001
8,Nidoqueen_0,0.013688,0.000469,0.000001
8,Yanmega_0,0.013688,0.000462,0.000001
9,Shelgon_1,0.013098,0.000579,0.000001
9,Zoroark,0.013098,0.000523,0.000001
9,Banette_0,0.013098,0.000494,0.000001
9,Poliwrath_0,0.013098,0.000498,0.000001
9,RotomMow Rotom_0,0.013098,0.000481,0.000000
10,Registeel_1,0.013621,0.000504,0.000001
10,Slowpoke_1,0.013621,0.000612,0.000001
10,VenusaurMega Venusaur_1,0.013621,0.000489,0.000000
10,Metapod_0,0.013621,0.000513,0.000001
10,Stantler_0,0.013621,0.000537,0.000001
11,MetagrossMega Metagross_1,0.013083,0.000515,0.000001
11,Unown_0,0.013083,0.000495,0.000001
11,Weepinbell_0,0.013083,0.000479,0.000001
11,Crobat_1,0.013083,0.000497,0.000001
11,Honedge_0,0.013083,0.000484,0.000001
12,Spheal_1,0.013405,0.000556,0.000001
12,Jigglypuff,0.013405,0.000540,0.000001
12,Masquerain_1,0.013405,0.000512,0.000000
12,Ekans,0.013405,0.000502,0.000001
12,Zweilous,0.013405,0.000463,0.000001
13,Snorunt_1,0.013275,0.000580,0.000001
13,Gastrodon_1,0.013275,0.000573,0.000001
13,Mr. Mime_1,0.013275,0.000518,0.000001
13,RotomMow Rotom_1,0.013275,0.000482,0.000001
13,Gengar_0,0.013275,0.000498,0.000001
14,Relicanth_1,0.013161,0.000514,0.000001
14,GyaradosMega Gyarados,0.013161,0.000528,0.000001
