instancia;nombre;t_ordenamiento;t_lineal;t_binaria
0;Persian;0,001153;0,000064;0,000000
0;Charizard;0,001153;0,000064;0,000001
0;BeedrillMega Beedrill;0,001153;0,000063;0,000001
0;Pichu;0,001153;0,000065;0,000000
0;MewtwoMega Mewtwo Y;0,001153;0,000067;0,000001
1;Persian;0,001155;0,000064;0,000000
1;Minun;0,001155;0,000066;0,000000
1;Celebi;0,001155;0,000063;0,000000
1;Combusken;0,001155;0,000063;0,000000
1;Beautifly;0,001155;0,000070;0,000001
2;Psyduck;0,001211;0,000066;0,000001
2;Unown;0,001211;0,000061;0,000001
2;Pineco;0,001211;0,000065;0,000001
2;Wartortle;0,001211;0,000061;0,000001
2;Beedrill;0,001211;0,000062;0,000001
3;Psyduck;0,001324;0,000065;0,000001
3;Yanma;0,001324;0,000060;0,000001
3;Graveler;0,001324;0,000099;0,000001
3;Teddiursa;0,001324;0,000062;0,000001
3;Nosepass;0,001324;0,000062;0,000001
4;Meowth;0,001241;0,000071;0,000001
4;Koffing;0,001241;0,000061;0,000001
4;Machoke;0,001241;0,000068;0,000001
4;Dodrio;0,001241;0,000062;0,000001
4;Pelipper;0,001241;0,000064;0,000001
5;Meowth;0,001152;0,000067;0,000001
5;Hitmonchan;0,001152;0,000062;0,000001
5;Raikou;0,001152;0,000062;0,000000
5;Marowak;0,001152;0,000068;0,000001
5;Onix;0,001152;0,000060;0,000001
6;Persian;0,001154;0,000066;0,000001
6;Loudred;0,001154;0,000062;0,000001
6;Blaziken;0,001154;0,000062;0,000000
6;Charmeleon;0,001154;0,000064;0,000000
6;Qwilfish;0,001154;0,000064;0,000000
7;Meowth;0,001358;0,000108;0,000001
7;Octillery;0,001358;0,000067;0,000000
7;Pidgeot;0,001358;0,000069;0,000001
7;Gligar;0,001358;0,000066;0,000001
7;Misdreavus;0,001358;0,000081;0,000001
8;Dugtrio;0,001168;0,000062;0,000001
8;Slugma;0,001168;0,000068;0,000001
8;Makuhita;0,001168;0,000068;0,000001
8;Venusaur;0,001168;0,000062;0,000000
8;Treecko;0,001168;0,000062;0,000000
9;Diglett;0,001204;0,000062;0,000001
9;Magby;0,001204;0,000068;0,000001
9;Goldeen;0,001204;0,000063;0,000001
9;Venonat;0,001204;0,000062;0,000001
9;Slakoth;0,001204;0,000069;0,000001
10;Dugtrio;0,001149;0,000062;0,000001
10;Wartortle;0,001149;0,000061;0,000001
10;Shuckle;0,001149;0,000071;0,000001
10;Dratini;0,001149;0,000062;0,000000
10;Noctowl;0,001149;0,000062;0,000001
11;Dugtrio;0,001145;0,000062;0,000001
11;MawileMega Mawile;0,001145;0,000068;0,000000
11;Pelipper;0,001145;0,000064;0,000001
11;Vileplume;0,001145;0,000061;0,000000
11;Loudred;0,001145;0,000064;0,000001
12;Venomoth;0,001169;0,000062;0,000001
12;Plusle;0,001169;0,000064;0,000000
12;Bellossom;0,001169;0,000062;0,000000
12;Ivysaur;0,001169;0,000060;0,000000
12;Meditite;0,001169;0,000067;0,000000
13;Venomoth;0,001290;0,000076;0,000001
13;Ursaring;0,001290;0,000064;0,000001
13;Farfetch'd;0,001290;0,000062;0,000001
13;Lapras;0,001290;0,000063;0,000001
13;PidgeotMega Pidgeot;0,001290;0,000066;0,000001
14;Diglett;0,001244;0,000065;0,000001
14;Seadra;0,001244;0,000069;0,000000
14;Poliwhirl;0,001244;0,000065;0,000001
14;Seaking;0,001244;0,000072;0,000000
14;Nidoking;0,001244;0,000063;0,000001
15;Venomoth;0,001155;0,000063;0,000001
15;Pidgeotto;0,001155;0,000066;0,000000
15;Zigzagoon;0,001155;0,000060;0,000001
15;Fearow;0,001155;0,000061;0,000001
15;Linoone;0,001155;0,000062;0,000000
16;Arcanine;0,001173;0,000063;0,000000
16;Spearow;0,001173;0,000069;0,000001
16;Beautifly;0,001173;0,000063;0,000001
16;Victreebel;0,001173;0,000061;0,000001
16;Kakuna;0,001173;0,000062;0,000001
17;Arcanine;0,001259;0,000065;0,000001
17;Haunter;0,001259;0,000063;0,000000
17;Croconaw;0,001259;0,000063;0,000001
17;Sentret;0,001259;0,000068;0,000001
17;Paras;0,001259;0,000083;0,000001
18;Poliwag;0,001201;0,000066;0,000000
18;Azurill;0,001201;0,000064;0,000001
18;KangaskhanMega Kangaskhan;0,001201;0,000062;0,000001
18;Flaaffy;0,001201;0,000061;0,000001
18;Voltorb;0,001201;0,000095;0,000000
19;Poliwag;0,001221;0,000068;0,000001
19;VenusaurMega Venusaur;0,001221;0,000062;0,000001
19;Seaking;0,001221;0,000069;0,000001
19;Masquerain;0,001221;0,000069;0,000001
19;Sableye;0,001221;0,000070;0,000001
20;Growlithe;0,001157;0,000066;0,000001
20;Steelix;0,001157;0,000070;0,000000
20;Spinarak;0,001157;0,000068;0,000000
20;Whismur;0,001157;0,000061;0,000000
20;Azumarill;0,001157;0,000063;0,000000
21;Growlithe;0,001177;0,000068;0,000001
21;Houndour;0,001177;0,000067;0,000001
21;Nidoran♀;0,001177;0,000060;0,000001
21;Electabuzz;0,001177;0,000062;0,000000
21;Venomoth;0,001177;0,000062;0,000001
22;Arcanine;0,001159;0,000064;0,000001
22;AlakazamMega Alakazam;0,001159;0,000065;0,000000
22;Noctowl;0,001159;0,000062;0,000000
22;Spearow;0,001159;0,000068;0,000001
22;Shedinja;0,001159;0,000072;0,000000
23;Growlithe;0,001151;0,000062;0,000000
23;Sudowoodo;0,001151;0,000066;0,000001
23;PinsirMega Pinsir;0,001151;0,000063;0,000001
23;Dugtrio;0,001151;0,000061;0,000000
23;Makuhita;0,001151;0,000066;0,000001
24;Mankey;0,001166;0,000069;0,000000
24;Pidgeot;0,001166;0,000064;0,000001
24;Gyarados;0,001166;0,000061;0,000001
24;Tyranitar;0,001166;0,000061;0,000001
24;Kakuna;0,001166;0,000060;0,000001
25;Mankey;0,001212;0,000066;0,000000
25;Electrike;0,001212;0,000060;0,000000
25;Ho-oh;0,001212;0,000061;0,000000
25;PidgeotMega Pidgeot;0,001212;0,000064;0,000001
25;Chansey;0,001212;0,000062;0,000000
26;Primeape;0,001169;0,000062;0,000000
26;Golem;0,001169;0,000062;0,000000
26;Zapdos;0,001169;0,000059;0,000000
26;Jumpluff;0,001169;0,000062;0,000000
26;Sableye;0,001169;0,000067;0,000001
27;Primeape;0,001120;0,000062;0,000000
27;Dustox;0,001120;0,000061;0,000000
27;Voltorb;0,001120;0,000060;0,000000
27;Shellder;0,001120;0,000066;0,000001
27;MewtwoMega Mewtwo Y;0,001120;0,000065;0,000001
28;Golduck;0,001120;0,000061;0,000000
28;AlakazamMega Alakazam;0,001120;0,000061;0,000000
28;Goldeen;0,001120;0,000065;0,000001
28;Porygon;0,001120;0,000063;0,000001
28;Marshtomp;0,001120;0,000066;0,000001
29;Golduck;0,001147;0,000061;0,000000
29;Mareep;0,001147;0,000066;0,000000
29;Croconaw;0,001147;0,000065;0,000000
29;Shroomish;0,001147;0,000067;0,000000
29;Unown;0,001147;0,000058;0,000000
30;Mankey;0,001149;0,000066;0,000000
30;Bellossom;0,001149;0,000064;0,000000
30;Smoochum;0,001149;0,000066;0,000001
30;Beautifly;0,001149;0,000060;0,000000
30;AmpharosMega Ampharos;0,001149;0,000061;0,000000
31;Golduck;0,001198;0,000061;0,000000
31;Flareon;0,001198;0,000059;0,000001
31;Farfetch'd;0,001198;0,000059;0,000000
31;Graveler;0,001198;0,000061;0,000001
31;Abra;0,001198;0,000061;0,000000
32;Golbat;0,001152;0,000061;0,000000
32;Victreebel;0,001152;0,000060;0,000001
32;Larvitar;0,001152;0,000060;0,000001
32;PinsirMega Pinsir;0,001152;0,000063;0,000001
32;Croconaw;0,001152;0,000061;0,000000
33;Zubat;0,001152;0,000058;0,000000
33;BlazikenMega Blaziken;0,001152;0,000064;0,000001
33;Articuno;0,001152;0,000061;0,000001
33;Exeggutor;0,001152;0,000060;0,000000
33;Raikou;0,001152;0,000062;0,000001
34;Golbat;0,001207;0,000062;0,000001
34;Raichu;0,001207;0,000076;0,000001
34;Onix;0,001207;0,000061;0,000001
34;Nuzleaf;0,001207;0,000063;0,000001
34;Staryu;0,001207;0,000068;0,000001
35;Golbat;0,001379;0,000069;0,000001
35;Venomoth;0,001379;0,000063;0,000001
35;Gastly;0,001379;0,000069;0,000001
35;Pidgeot;0,001379;0,000079;0,000001
35;Abra;0,001379;0,000063;0,000001
36;Wigglytuff;0,001226;0,000060;0,000001
36;Golbat;0,001226;0,000061;0,000000
36;Poliwrath;0,001226;0,000066;0,000000
36;Nincada;0,001226;0,000060;0,000000
36;BeedrillMega Beedrill;0,001226;0,000061;0,000001
37;Wigglytuff;0,001155;0,000062;0,000001
37;Nuzleaf;0,001155;0,000061;0,000001
37;Dugtrio;0,001155;0,000062;0,000001
37;Slakoth;0,001155;0,000068;0,000001
37;MawileMega Mawile;0,001155;0,000068;0,000000
38;Zubat;0,001154;0,000059;0,000000
38;Hitmontop;0,001154;0,000063;0,000001
38;Pidgeot;0,001154;0,000064;0,000001
38;Beautifly;0,001154;0,000061;0,000000
38;Magikarp;0,001154;0,000066;0,000001
39;Zubat;0,001123;0,000058;0,000000
39;Kabutops;0,001123;0,000060;0,000001
39;PinsirMega Pinsir;0,001123;0,000063;0,000001
39;Poliwrath;0,001123;0,000066;0,000000
39;Noctowl;0,001123;0,000060;0,000000
40;Jigglypuff;0,001122;0,000059;0,000000
40;Rattata;0,001122;0,000060;0,000000
40;Masquerain;0,001122;0,000066;0,000000
40;AlakazamMega Alakazam;0,001122;0,000061;0,000000
40;Mawile;0,001122;0,000066;0,000001
41;Ninetales;0,001164;0,000060;0,000001
41;Umbreon;0,001164;0,000059;0,000000
41;Graveler;0,001164;0,000062;0,000001
41;Kangaskhan;0,001164;0,000060;0,000000
41;Ditto;0,001164;0,000064;0,000001
42;Wigglytuff;0,001120;0,000059;0,000000
42;Makuhita;0,001120;0,000066;0,000001
42;Ho-oh;0,001120;0,000061;0,000000
42;Venomoth;0,001120;0,000060;0,000001
42;Jigglypuff;0,001120;0,000058;0,000000
43;Jigglypuff;0,001122;0,000061;0,000000
43;Ivysaur;0,001122;0,000059;0,000000
43;Blissey;0,001122;0,000060;0,000000
43;Kirlia;0,001122;0,000060;0,000000
43;Hitmontop;0,001122;0,000064;0,000001
44;Vulpix;0,001236;0,000060;0,000000
44;Dunsparce;0,001236;0,000077;0,000000
44;Nidoran♀;0,001236;0,000057;0,000000
44;Togepi;0,001236;0,000061;0,000000
44;Manectric;0,001236;0,000066;0,000000
45;Vulpix;0,001136;0,000060;0,000000
45;Mantine;0,001136;0,000066;0,000001
45;Whismur;0,001136;0,000060;0,000000
45;Makuhita;0,001136;0,000066;0,000001
45;Shellder;0,001136;0,000067;0,000001
46;Ninetales;0,001180;0,000060;0,000001
46;Nidorina;0,001180;0,000061;0,000000
46;Suicune;0,001180;0,000066;0,000000
46;Eevee;0,001180;0,000060;0,000000
46;Cloyster;0,001180;0,000061;0,000000
47;Ninetales;0,001250;0,000065;0,000001
47;Arbok;0,001250;0,000063;0,000000
47;Azurill;0,001250;0,000063;0,000001
47;Spinarak;0,001250;0,000068;0,000000
47;Seel;0,001250;0,000068;0,000001
48;Venonat;0,001233;0,000061;0,000001
48;Sandshrew;0,001233;0,000066;0,000000
48;PidgeotMega Pidgeot;0,001233;0,000064;0,000001
48;Shellder;0,001233;0,000082;0,000001
48;Ledyba;0,001233;0,000062;0,000001
49;Parasect;0,001150;0,000063;0,000000
49;Golduck;0,001150;0,000062;0,000000
49;Igglybuff;0,001150;0,000058;0,000000
49;Blastoise;0,001150;0,000061;0,000000
49;Clefable;0,001150;0,000062;0,000000
50;Venonat;0,001122;0,000060;0,000000
50;PinsirMega Pinsir;0,001122;0,000063;0,000001
50;Pichu;0,001122;0,000063;0,000000
50;Dustox;0,001122;0,000087;0,000000
50;Rhydon;0,001122;0,000059;0,000000
51;Venonat;0,001120;0,000060;0,000000
51;Dragonair;0,001120;0,000061;0,000001
51;HeracrossMega Heracross;0,001120;0,000061;0,000000
51;Kabuto;0,001120;0,000060;0,000000
51;Breloom;0,001120;0,000063;0,000000
52;Paras;0,001124;0,000062;0,000000
52;Rhyhorn;0,001124;0,000060;0,000000
52;Kingdra;0,001124;0,000060;0,000000
52;Zapdos;0,001124;0,000058;0,000000
52;HeracrossMega Heracross;0,001124;0,000061;0,000001
53;Paras;0,001219;0,000065;0,000000
53;Ninetales;0,001219;0,000076;0,000001
53;AggronMega Aggron;0,001219;0,000063;0,000001
53;Medicham;0,001219;0,000067;0,000001
53;Spinarak;0,001219;0,000068;0,000000
54;Parasect;0,001131;0,000062;0,000000
54;Houndour;0,001131;0,000061;0,000000
54;Abra;0,001131;0,000061;0,000000
54;Forretress;0,001131;0,000059;0,000001
54;GyaradosMega Gyarados;0,001131;0,000061;0,000000
55;Paras;0,001197;0,000064;0,000001
55;Porygon2;0,001197;0,000065;0,000000
55;Chansey;0,001197;0,000064;0,000000
55;Wurmple;0,001197;0,000061;0,000001
55;Politoed;0,001197;0,000065;0,000000
