instancia;nombre;t_ordenamiento;t_lineal;t_binaria
0;Bulbasaur_0;0,005991;0,000267;0,000001
0;MedichamMega Medicham;0,005991;0,000274;0,000000
0;Hitmonchan;0,005991;0,000250;0,000001
0;AerodactylMega Aerodactyl;0,005991;0,000249;0,000001
0;Sewaddle;0,005991;0,000272;0,000001
1;HoopaHoopa Unbound;0,005870;0,000243;0,000001
1;AggronMega Aggron_0;0,005870;0,000269;0,000000
1;Mankey;0,005870;0,000256;0,000000
1;Mew_0;0,005870;0,000257;0,000001
1;Parasect;0,005870;0,000246;0,000000
2;VenusaurMega Venusaur_0;0,006278;0,000258;0,000001
2;PinsirMega Pinsir_0;0,006278;0,000277;0,000001
2;Cloyster;0,006278;0,000261;0,000001
2;Vespiquen;0,006278;0,000323;0,000001
2;Shedinja;0,006278;0,000459;0,000001
3;Ivysaur_0;0,005882;0,000233;0,000001
3;Darumaka;0,005882;0,000242;0,000000
3;CameruptMega Camerupt_0;0,005882;0,000248;0,000001
3;Marill;0,005882;0,000259;0,000000
3;Fennekin;0,005882;0,000236;0,000000
4;Zygarde50% Forme;0,005873;0,000231;0,000000
4;Swellow;0,005873;0,000295;0,000001
4;ShayminLand Forme;0,005873;0,000267;0,000000
4;Aron;0,005873;0,000242;0,000001
4;Delphox;0,005873;0,000245;0,000000
5;Yveltal;0,005974;0,000229;0,000000
5;Ponyta_0;0,005974;0,000250;0,000001
5;Persian;0,005974;0,000245;0,000001
5;Drifloon;0,005974;0,000242;0,000000
5;MeloettaPirouette Forme;0,005974;0,000275;0,000001
6;HoopaHoopa Confined;0,005782;0,000239;0,000001
6;Wigglytuff_0;0,005782;0,000235;0,000001
6;Swellow_0;0,005782;0,000296;0,000000
6;Koffing_0;0,005782;0,000236;0,000001
6;Pancham;0,005782;0,000267;0,000001
7;Diancie;0,005691;0,000242;0,000001
7;Hoppip_0;0,005691;0,000247;0,000001
7;Luvdisc;0,005691;0,000247;0,000001
7;Paras;0,005691;0,000252;0,000000
7;Aron;0,005691;0,000249;0,000001
8;Bergmite;0,005906;0,000257;0,000000
8;Poliwrath_0;0,005906;0,000247;0,000001
8;Lotad_0;0,005906;0,000243;0,000000
8;Slowbro;0,005906;0,000266;0,000000
8;Gallade;0,005906;0,000246;0,000001
9;GourgeistSuper Size;0,005784;0,000256;0,000001
9;Grovyle;0,005784;0,000255;0,000001
9;Liepard;0,005784;0,000240;0,000000
9;Ivysaur;0,005784;0,000230;0,000001
9;Lickitung;0,005784;0,000243;0,000001
10;Noivern;0,005714;0,000253;0,000001
10;Mightyena;0,005714;0,000263;0,000001
10;Chansey;0,005714;0,000250;0,000000
10;Raikou_0;0,005714;0,000238;0,000000
10;Burmy;0,005714;0,000244;0,000000
11;Noibat;0,006211;0,000238;0,000000
11;Munna;0,006211;0,000252;0,000001
11;BlazikenMega Blaziken_0;0,006211;0,000242;0,000001
11;Karrablast;0,006211;0,000240;0,000001
11;Marshtomp;0,006211;0,000255;0,000000
12;PumpkabooLarge Size;0,005782;0,000252;0,000000
12;Hitmonchan;0,005782;0,000241;0,000001
12;Qwilfish_0;0,005782;0,000230;0,000000
12;Rapidash;0,005782;0,000241;0,000001
12;Natu_0;0,005782;0,000234;0,000000
13;PumpkabooSmall Size;0,005788;0,000253;0,000001
13;Rufflet;0,005788;0,000240;0,000000
13;Houndour_0;0,005788;0,000240;0,000000
13;Forretress_0;0,005788;0,000238;0,000000
13;Pachirisu;0,005788;0,000245;0,000000
