instancia;nombre;t_ordenamiento;t_lineal;t_binaria
0;Palpitoad;0,002771;0,000129;0,000000
0;Nincada;0,002771;0,000122;0,000000
0;Yanmega;0,002771;0,000118;0,000001
0;Oddish;0,002771;0,000119;0,000000
0;Aron;0,002771;0,000129;0,000000
1;Tympole;0,002665;0,000128;0,000000
1;Sandshrew;0,002665;0,000138;0,000001
1;Drilbur;0,002665;0,000128;0,000000
1;Taillow;0,002665;0,000123;0,000001
1;Palpitoad;0,002665;0,000127;0,000000
2;Seismitoad;0,002456;0,000133;0,000000
2;Relicanth;0,002456;0,000120;0,000000
2;Chinchou;0,002456;0,000125;0,000000
2;Houndour;0,002456;0,000119;0,000000
2;Pineco;0,002456;0,000124;0,000000
3;Seismitoad;0,002619;0,000133;0,000000
3;Gabite;0,002619;0,000123;0,000000
3;GroudonPrimal Groudon;0,002619;0,000124;0,000000
3;Volbeat;0,002619;0,000117;0,000000
3;KyogrePrimal Kyogre;0,002619;0,000118;0,000000
4;Gurdurr;0,002880;0,000133;0,000001
4;Wobbuffet;0,002880;0,000131;0,000001
4;Seedot;0,002880;0,000137;0,000001
4;Kirlia;0,002880;0,000121;0,000000
4;Aron;0,002880;0,000124;0,000001
5;Timburr;0,002550;0,000133;0,000000
5;Zebstrika;0,002550;0,000153;0,000001
5;Skuntank;0,002550;0,000152;0,000000
5;Musharna;0,002550;0,000142;0,000001
5;Nidoran♂;0,002550;0,000119;0,000000
6;Conkeldurr;0,002539;0,000178;0,000001
6;Clefable;0,002539;0,000124;0,000000
6;Rotom;0,002539;0,000121;0,000000
6;KangaskhanMega Kangaskhan;0,002539;0,000119;0,000000
6;Panpour;0,002539;0,000123;0,000000
7;Conkeldurr;0,002621;0,000130;0,000000
7;Magby;0,002621;0,000133;0,000000
7;Dusclops;0,002621;0,000124;0,000000
7;Snover;0,002621;0,000141;0,000000
7;GiratinaOrigin Forme;0,002621;0,000128;0,000000
8;Audino;0,002738;0,000129;0,000001
8;Latios;0,002738;0,000126;0,000001
8;Octillery;0,002738;0,000119;0,000001
8;Sealeo;0,002738;0,000137;0,000001
8;Spearow;0,002738;0,000136;0,000000
9;Excadrill;0,002551;0,000123;0,000000
9;Boldore;0,002551;0,000122;0,000000
9;Clefairy;0,002551;0,000127;0,000000
9;Magnezone;0,002551;0,000149;0,000000
9;Tranquill;0,002551;0,000124;0,000000
10;AudinoMega Audino;0,002672;0,000125;0,000001
10;Taillow;0,002672;0,000124;0,000001
10;Tauros;0,002672;0,000125;0,000001
10;PidgeotMega Pidgeot;0,002672;0,000161;0,000001
10;Budew;0,002672;0,000174;0,000000
11;AudinoMega Audino;0,002861;0,000132;0,000000
11;Tranquill;0,002861;0,000125;0,000000
11;Mesprit;0,002861;0,000131;0,000000
11;Combee;0,002861;0,000128;0,000000
11;Smeargle;0,002861;0,000136;0,000000
12;Swoobat;0,002537;0,000133;0,000000
12;Rhydon;0,002537;0,000120;0,000000
12;Jolteon;0,002537;0,000115;0,000000
12;Umbreon;0,002537;0,000115;0,000000
12;Treecko;0,002537;0,000120;0,000000
13;Woobat;0,002513;0,000119;0,000001
13;Spinda;0,002513;0,000133;0,000000
13;Minun;0,002513;0,000125;0,000000
13;AbomasnowMega Abomasnow;0,002513;0,000124;0,000000
13;BeedrillMega Beedrill;0,002513;0,000121;0,000000
14;Excadrill;0,002944;0,000126;0,000000
14;Ivysaur;0,002944;0,000119;0,000000
14;Jolteon;0,002944;0,000119;0,000000
14;Bellossom;0,002944;0,000125;0,000000
14;Venusaur;0,002944;0,000121;0,000001
15;Drilbur;0,002479;0,000129;0,000001
15;Camerupt;0,002479;0,000129;0,000001
15;Pelipper;0,002479;0,000126;0,000000
15;Azurill;0,002479;0,000124;0,000000
15;Shellder;0,002479;0,000138;0,000000
16;Petilil;0,002527;0,000125;0,000000
16;Woobat;0,002527;0,000129;0,000001
16;Shellder;0,002527;0,000139;0,000000
16;Altaria;0,002527;0,000124;0,000000
16;Chimchar;0,002527;0,000128;0,000000
17;Whimsicott;0,002599;0,000134;0,000000
17;Numel;0,002599;0,000122;0,000001
17;Audino;0,002599;0,000198;0,000000
17;Darumaka;0,002599;0,000142;0,000001
17;Yanmega;0,002599;0,000162;0,000001
18;Lilligant;0,002960;0,000127;0,000001
18;Seel;0,002960;0,000138;0,000000
18;Glalie;0,002960;0,000127;0,000000
18;Wobbuffet;0,002960;0,000122;0,000000
18;Whimsicott;0,002960;0,000122;0,000000
19;Petilil;0,002523;0,000123;0,000001
19;Slowbro;0,002523;0,000137;0,000000
19;Mime Jr,;0,002523;0,000126;0,000000
19;Forretress;0,002523;0,000117;0,000000
19;Smeargle;0,002523;0,000132;0,000000
20;Scolipede;0,002575;0,000138;0,000001
20;Mawile;0,002575;0,000132;0,000000
20;Swadloon;0,002575;0,000137;0,000000
20;Shiftry;0,002575;0,000137;0,000000
20;Gengar;0,002575;0,000126;0,000000
21;Whirlipede;0,002668;0,000150;0,000000
21;Steelix;0,002668;0,000139;0,000000
21;Grumpig;0,002668;0,000126;0,000000
21;Corphish;0,002668;0,000127;0,000000
21;Ariados;0,002668;0,000124;0,000000
22;Cottonee;0,002504;0,000126;0,000000
22;Swadloon;0,002504;0,000133;0,000000
22;ScizorMega Scizor;0,002504;0,000133;0,000001
22;Trapinch;0,002504;0,000124;0,000000
22;Seismitoad;0,002504;0,000137;0,000000
23;Scolipede;0,002712;0,000140;0,000000
23;Yanma;0,002712;0,000122;0,000001
23;Sharpedo;0,002712;0,000138;0,000000
23;Gligar;0,002712;0,000126;0,000000
23;Blissey;0,002712;0,000124;0,000000
24;Leavanny;0,002564;0,000121;0,000000
24;Dodrio;0,002564;0,000120;0,000000
24;Cleffa;0,002564;0,000124;0,000000
24;Venusaur;0,002564;0,000121;0,000001
24;Garchomp;0,002564;0,000123;0,000000
25;Swadloon;0,002634;0,000141;0,000000
25;Lapras;0,002634;0,000125;0,000000
25;Simipour;0,002634;0,000136;0,000000
25;Metagross;0,002634;0,000134;0,000000
25;Venipede;0,002634;0,000121;0,000000
26;Venipede;0,002528;0,000124;0,000000
26;SlowbroMega Slowbro;0,002528;0,000138;0,000000
26;SwampertMega Swampert;0,002528;0,000138;0,000000
26;Staravia;0,002528;0,000137;0,000000
26;Jigglypuff;0,002528;0,000119;0,000000
27;Leavanny;0,002626;0,000121;0,000001
27;Magcargo;0,002626;0,000129;0,000000
27;Azumarill;0,002626;0,000120;0,000000
27;Wobbuffet;0,002626;0,000119;0,000000
27;Palpitoad;0,002626;0,000126;0,000000
28;Sawk;0,002848;0,000151;0,000000
28;Lucario;0,002848;0,000122;0,000000
28;Kingdra;0,002848;0,000118;0,000000
28;Finneon;0,002848;0,000117;0,000000
28;GyaradosMega Gyarados;0,002848;0,000123;0,000001
29;Throh;0,002507;0,000122;0,000000
29;Marowak;0,002507;0,000129;0,000000
29;Miltank;0,002507;0,000125;0,000000
29;ManectricMega Manectric;0,002507;0,000132;0,000000
29;Rhyperior;0,002507;0,000120;0,000000
30;Sewaddle;0,002475;0,000133;0,000000
30;Slowking;0,002475;0,000133;0,000000
30;Manectric;0,002475;0,000128;0,000000
30;Seadra;0,002475;0,000146;0,000000
30;Umbreon;0,002475;0,000115;0,000000
31;Sewaddle;0,002612;0,000136;0,000000
31;Yanma;0,002612;0,000133;0,000000
31;Cradily;0,002612;0,000128;0,000000
31;Tepig;0,002612;0,000124;0,000000
31;Garchomp;0,002612;0,000127;0,000000
32;Pansear;0,002575;0,000124;0,000000
32;Trapinch;0,002575;0,000123;0,000000
32;Wartortle;0,002575;0,000119;0,000000
32;Venusaur;0,002575;0,000118;0,000000
32;Oddish;0,002575;0,000116;0,000000
33;Pansear;0,002500;0,000126;0,000000
33;Gardevoir;0,002500;0,000124;0,000000
33;Mismagius;0,002500;0,000126;0,000000
33;Cubone;0,002500;0,000123;0,000000
33;MawileMega Mawile;0,002500;0,000128;0,000000
34;Panpour;0,002508;0,000143;0,000001
34;Girafarig;0,002508;0,000123;0,000000
34;Meganium;0,002508;0,000126;0,000000
34;Manaphy;0,002508;0,000128;0,000000
34;Cloyster;0,002508;0,000123;0,000000
35;Simisear;0,002614;0,000132;0,000000
35;Pinsir;0,002614;0,000124;0,000000
35;SharpedoMega Sharpedo;0,002614;0,000134;0,000000
35;Tropius;0,002614;0,000120;0,000000
35;Spiritomb;0,002614;0,000133;0,000000
36;Liepard;0,003090;0,000160;0,000001
36;DeoxysDefense Forme;0,003090;0,000156;0,000000
36;Cacnea;0,003090;0,000131;0,000000
36;Houndoom;0,003090;0,000126;0,000001
36;Swellow;0,003090;0,000172;0,000001
37;Liepard;0,002527;0,000121;0,000000
37;Togekiss;0,002527;0,000124;0,000000
37;Lickilicky;0,002527;0,000121;0,000000
37;Fearow;0,002527;0,000117;0,000000
37;Hitmonlee;0,002527;0,000119;0,000000
38;Simisage;0,002554;0,000138;0,000000
38;Regigigas;0,002554;0,000121;0,000000
38;Aipom;0,002554;0,000120;0,000000
38;BanetteMega Banette;0,002554;0,000122;0,000000
38;Altaria;0,002554;0,000120;0,000000
39;Pansage;0,002822;0,000162;0,000001
39;Bellsprout;0,002822;0,000144;0,000000
39;Luxray;0,002822;0,000122;0,000001
39;Graveler;0,002822;0,000176;0,000000
39;Shroomish;0,002822;0,000134;0,000000
40;Stoutland;0,002479;0,000140;0,000000
40;Walrein;0,002479;0,000120;0,000000
40;Oshawott;0,002479;0,000116;0,000000
40;Ninjask;0,002479;0,000121;0,000000
40;Voltorb;0,002479;0,000117;0,000000
41;Herdier;0,002870;0,000130;0,000001
41;Poliwhirl;0,002870;0,000131;0,000000
41;Azumarill;0,002870;0,000124;0,000000
41;Ekans;0,002870;0,000121;0,000000
41;Anorith;0,002870;0,000123;0,000000
42;Purrloin;0,002973;0,000128;0,000000
42;Cacturne;0,002973;0,000128;0,000000
42;Blaziken;0,002973;0,000128;0,000000
42;Butterfree;0,002973;0,000124;0,000000
42;AbsolMega Absol;0,002973;0,000124;0,000000
43;Stoutland;0,002639;0,000168;0,000000
43;Purugly;0,002639;0,000236;0,000001
43;KangaskhanMega Kangaskhan;0,002639;0,000122;0,000000
43;Seel;0,002639;0,000137;0,000000
43;Marill;0,002639;0,000131;0,000000
44;Watchog;0,002703;0,000131;0,000000
44;Exploud;0,002703;0,000123;0,000000
44;Ampharos;0,002703;0,000124;0,000000
44;Sawk;0,002703;0,000140;0,000000
44;Makuhita;0,002703;0,000131;0,000000
45;Patrat;0,002550;0,000126;0,000000
45;PidgeotMega Pidgeot;0,002550;0,000126;0,000000
45;Staravia;0,002550;0,000134;0,000000
45;Sneasel;0,002550;0,000133;0,000000
45;Wynaut;0,002550;0,000118;0,000000
46;Lillipup;0,002746;0,000126;0,000000
46;Starmie;0,002746;0,000137;0,000000
46;Nosepass;0,002746;0,000120;0,000000
46;Flaaffy;0,002746;0,000120;0,000000
46;Toxicroak;0,002746;0,000124;0,000001
47;Watchog;0,002546;0,000126;0,000001
47;Leavanny;0,002546;0,000158;0,000001
47;Purugly;0,002546;0,000144;0,000000
47;Cubone;0,002546;0,000156;0,000000
47;Gulpin;0,002546;0,000127;0,000000
48;Boldore;0,002486;0,000121;0,000000
48;Jigglypuff;0,002486;0,000116;0,000000
48;Numel;0,002486;0,000117;0,000000
48;MewtwoMega Mewtwo X;0,002486;0,000127;0,000000
48;Shieldon;0,002486;0,000134;0,000000
49;Roggenrola;0,002552;0,000122;0,000000
49;Chimecho;0,002552;0,000125;0,000000
49;AmpharosMega Ampharos;0,002552;0,000121;0,000001
49;Banette;0,002552;0,000121;0,000000
49;Lillipup;0,002552;0,000125;0,000000
50;Woobat;0,002643;0,000119;0,000000
50;PinsirMega Pinsir;0,002643;0,000124;0,000000
50;Treecko;0,002643;0,000120;0,000000
50;Gurdurr;0,002643;0,000122;0,000000
50;Tympole;0,002643;0,000120;0,000000
