instancia,selectionSort,mergeSort
0,0.001114,0.001324
1,0.000098,0.000043
2,0.000053,0.000034
3,0.000070,0.000022
4,0.000111,0.000037
5,0.000046,0.000053
6,0.000023,0.000023
7,0.000021,0.000019
8,0.000018,0.000024
9,0.000020,0.000020
10,0.000018,0.000024
11,0.000028,0.000029
12,0.000019,0.000019
13,0.000017,0.000019
14,0.000017,0.000032
15,0.000024,0.000020
16,0.000019,0.000032
17,0.000032,0.000013
18,0.000016,0.000013
19,0.000016,0.000012
20,0.000017,0.000012
21,0.000020,0.000014
22,0.000020,0.000013
23,0.000021,0.000015
24,0.000016,0.000011
25,0.000023,0.000011
26,0.000019,0.000013
27,0.000017,0.000013
28,0.000015,0.000010
29,0.000020,0.000012
30,0.000020,0.000013
31,0.000020,0.000014
32,0.000017,0.000012
33,0.000015,0.000012
34,0.000018,0.000014
35,0.000016,0.000012
36,0.000017,0.000012
37,0.000017,0.000011
38,0.000018,0.000014
39,0.000019,0.000012
40,0.000032,0.000015
41,0.000024,0.000017
42,0.000016,0.000016
43,0.000015,0.000016
44,0.000015,0.000012
45,0.000032,0.000013
46,0.000020,0.000013
47,0.000022,0.000013
48,0.000017,0.000012
49,0.000015,0.000012
50,0.000016,0.000016
51,0.000016,0.000016
52,0.000018,0.000011
53,0.000015,0.000011
54,0.000015,0.000010
55,0.000018,0.000013
56,0.000028,0.000031
57,0.000024,0.000022
58,0.000016,0.000011
59,0.000020,0.000013
60,0.000018,0.000012
61,0.000015,0.000013
62,0.000016,0.000013
63,0.000015,0.000020
64,0.000015,0.000011
65,0.000013,0.000010
66,0.000020,0.000011
67,0.000015,0.000011
68,0.000015,0.000014
69,0.000014,0.000011
70,0.000014,0.000011
71,0.000014,0.000010
72,0.000016,0.000012
73,0.000014,0.000010
74,0.000014,0.000013
75,0.000016,0.000011
76,0.000013,0.000010
77,0.000014,0.000009
78,0.000014,0.000025
79,0.000013,0.000011
80,0.000012,0.000018
81,0.000024,0.000010
82,0.000014,0.000009
83,0.000013,0.000009
84,0.000016,0.000012
85,0.000015,0.000010
86,0.000013,0.000011
87,0.000014,0.000022
88,0.000013,0.000011
89,0.000050,0.000011
90,0.000016,0.000011
91,0.000014,0.000011
92,0.000014,0.000010
93,0.000013,0.000011
94,0.000013,0.000010
95,0.000014,0.000011
96,0.000015,0.000011
97,0.000016,0.000015
98,0.000014,0.000011
99,0.000014,0.000011
