instancia,selectionSort,mergeSort
0,0.000065,0.000138
1,0.000061,0.000062
2,0.000062,0.000064
3,0.000061,0.000064
4,0.000063,0.000064
5,0.000063,0.000064
6,0.000062,0.000065
7,0.000066,0.000063
8,0.000063,0.000064
9,0.000062,0.000063
10,0.000060,0.000064
11,0.000061,0.000062
12,0.000067,0.000068
13,0.000061,0.000063
14,0.000067,0.000067
15,0.000060,0.000062
16,0.000061,0.000063
17,0.000060,0.000062
18,0.000062,0.000066
19,0.000062,0.000065
20,0.000064,0.000066
21,0.000065,0.000066
22,0.000066,0.000066
23,0.000062,0.000065
24,0.000063,0.000073
25,0.000060,0.000063
26,0.000062,0.000064
27,0.000061,0.000063
28,0.000062,0.000063
29,0.000061,0.000063
30,0.000060,0.000064
31,0.000060,0.000069
32,0.000062,0.000064
33,0.000067,0.000064
34,0.000060,0.000064
35,0.000061,0.000064
36,0.000061,0.000063
37,0.000060,0.000063
38,0.000061,0.000064
39,0.000060,0.000063
40,0.000061,0.000066
41,0.000062,0.000064
42,0.000061,0.000064
43,0.000060,0.000063
44,0.000061,0.000063
45,0.000060,0.000063
46,0.000061,0.000063
47,0.000067,0.000068
48,0.000061,0.000083
49,0.000061,0.000063
50,0.000060,0.000064
51,0.000063,0.000063
52,0.000064,0.000070
53,0.000069,0.000072
54,0.000062,0.000072
55,0.000064,0.000066
56,0.000062,0.000067
57,0.000060,0.000064
58,0.000060,0.000063
59,0.000068,0.000067
60,0.000060,0.000064
61,0.000061,0.000065
62,0.000060,0.000078
63,0.000063,0.000064
64,0.000060,0.000064
65,0.000060,0.000063
66,0.000059,0.000063
67,0.000061,0.000063
68,0.000061,0.000065
69,0.000061,0.000066
70,0.000061,0.000066
71,0.000067,0.000064
72,0.000060,0.000064
73,0.000059,0.000064
74,0.000060,0.000062
75,0.000061,0.000061
76,0.000059,0.000064
77,0.000059,0.000064
78,0.000060,0.000071
79,0.000062,0.000065
80,0.000060,0.000015
81,0.000059,0.000010
82,0.000066,0.000010
83,0.000061,0.000009
84,0.000059,0.000009
85,0.000060,0.000010
86,0.000059,0.000009
87,0.000062,0.000009
88,0.000060,0.000010
89,0.000060,0.000012
90,0.000061,0.000010
91,0.000062,0.000011
92,0.000059,0.000009
93,0.000059,0.000010
94,0.000060,0.000010
95,0.000061,0.000009
96,0.000060,0.000009
97,0.000059,0.000010
98,0.000060,0.000016
99,0.000061,0.000009
